nm1420002	Mairi Dorman	\N	\N	actress	tt0342167
nm1420003	Krasimirr Dormushev	\N	\N	actor	tt0288899
nm1420004	Afzal H. Dossani	\N	\N	miscellaneous	tt0255713,tt0156691
nm1420006	Meghan Dowd	\N	\N	miscellaneous,producer	tt0460672,tt0848539,tt0426738,tt0320028
nm1420008	Nathan Downing	\N	\N	editor,editorial_department	tt0770787,tt1851939,tt0802958,tt0455366
nm1420009	Adam Downs	\N	\N	actor	tt0372292,tt0463987
nm1420011	Olivia Drake	\N	\N	director,writer,costume_department	tt0283035,tt5442428
nm1420014	Marco Dreysse	\N	\N	producer,art_department,production_manager	tt0390440,tt1686042,tt3838498,tt1935221
nm1420015	Martina Drijverová	\N	\N	writer	tt1399214,tt4293684,tt0468351,tt0292928
nm1420016	Antoniya Drinova	\N	\N	actress	tt0375741
nm1420017	Scott Driscoll	\N	\N	art_department	tt0387037,tt0220008,tt0280970,tt0335034
nm1420018	Ninglin Du	\N	\N	actress	tt4051404,tt0338581,tt7257956,tt4092118
nm1420020	Sarah Duah	\N	\N	actress	tt0376099
nm1420021	Lewis Dubrofsky	\N	\N	actor	tt0078654,tt0079915
nm1420022	Carl Dubé	\N	\N	writer	tt0376015
nm1420023	Valentina Ducet	\N	\N	costume_designer,costume_department	tt0899211,tt0994896,tt0375560,tt0896574
nm1420024	Muriel Duclos	\N	\N	actress	tt0188042
nm1420025	Wassili Dudan	\N	\N	art_department,art_director	tt0356336,tt0310406,tt0450991,tt0310164
nm1420026	Guillaume Dufour	\N	\N	director,writer,location_management	tt0376031,tt1264879,tt4474924
nm1420027	Jerome Dufour	\N	\N	writer,director,producer	tt0376031,tt4474924,tt1264879
nm1420028	Blake Dugger	1983	\N	actor	tt0343788
nm1420029	Shuki Duinyns	\N	\N	cinematographer	tt0375649
nm1420030	Gil Duldulao	\N	\N	miscellaneous	tt1816743,tt0373938,tt0208234,tt2089736
nm1420031	Kyle Dunlevy	\N	\N	director,animation_department,visual_effects	tt0369610,tt0458290,tt2109248,tt1964418
nm1420034	Kyra Dupont	\N	\N	producer	tt0376129
nm1420035	Scott Durand	\N	\N	actor	tt0005158
nm1420037	Josephine Duval	\N	\N	actress	tt0003463
nm1420038	David Duzenski	\N	\N	actor	tt1427905,tt0376261,tt0426412,tt1455202
nm1420039	Józef Dwornicki	1915	1968	actor	tt0049622,tt0052071
nm1420040	Soozie Eastman	1979	\N	producer,director,actress	tt0416675,tt0428387,tt0878108,tt6101430
nm1420041	Yoshikazu Ebisu	\N	\N	actor,director,writer	tt1054122,tt1867101,tt0794319,tt5341136
nm1420042	Vinette Ebrahim	\N	\N	actress	tt0490952,tt0375446,tt6240158
nm1420043	Isabel Echeverry	\N	\N	producer,actress,writer	tt4629486,tt5447802,tt4778476,tt4629262
nm1420045	Kathryn Eckert	\N	\N	actress	tt0376335
nm1420046	Sara Edelöf	\N	\N	actress	tt0374629
nm1420047	Hope Eden	\N	\N	actress	tt0375748
nm1420048	Robert M. Edgecomb	\N	\N	cinematographer,camera_department,actor	tt2462764,tt2368583,tt3451112,tt2827192
nm1420049	Elena Efstatieva	\N	\N	assistant_director	tt0253222
nm1420050	José Egouy	\N	\N	actor	tt0091089
nm1420051	Gregor F. Ehlers	\N	\N	actor	tt0049488
nm1420053	Lucien Eisenach	\N	\N	actor,director,writer	tt4765338,tt1725011,tt1947996,tt2319747
nm1420054	Sandra Ejikeme	\N	\N	make_up_department,actress,costume_designer	tt1510749,tt1053808,tt1510748,tt1053809
nm1420055	Joy C. Ejiro	\N	\N	costume_designer,producer	tt0341513,tt0376083,tt3441786,tt0906018
nm1420056	Ron Ekers	\N	\N		\N
nm1420058	Jamel El Araoui	\N	\N	actor	tt0086899
nm1420059	Ibrahim El-Batout	1963	\N	writer,director,cinematographer	tt2380594,tt1303707,tt1786526,tt1776201
nm1420062	Erling Eliasson	\N	\N	actor	tt0375909,tt0247895,tt2708936
nm1420063	Gizza Elizondo	\N	\N	miscellaneous	tt0381436,tt0375945,tt0375953,tt0381600
nm1420066	Hedwig Elze	\N	\N	make_up_department	tt0049488
nm1420067	Amiel Emdin	\N	\N	cinematographer,director,assistant_director	tt0439513,tt0304303,tt0287457,tt3392838
nm1420068	Samy Emery	\N	\N	camera_department	tt0423397,tt0123013,tt0410549,tt0910935
nm1420069	Takis Emmanouilidis	\N	\N	writer,producer	tt0376039,tt0258572
nm1420070	Tamaki Endou	\N	\N	director	tt0281240
nm1420071	Palle Enevoldsen	\N	\N	editor,art_department,editorial_department	tt0346908,tt0451873,tt0294109,tt0835701
nm1420074	Héctor Enríquez	\N	\N	cinematographer,director,actor	tt1220560,tt0378856,tt0375793
nm1420075	In-hie Eom	\N	\N	writer	tt0375792
nm1420076	Cankat Ergin	\N	\N	director,assistant_director	tt0781948,tt0424682,tt0221731,tt1616295
nm1420078	Martín Errea	\N	\N	cinematographer,camera_department	tt0376115,tt7416548,tt2656976,tt3298318
nm1420079	Maigualida Escalona	\N	\N	actress	tt0084323
nm1420080	Raúl Escobedo Espinoza	\N	\N	camera_department,transportation_department,miscellaneous	tt0221344,tt0245712,tt0214769,tt0337824
nm1420081	Efrem Escober	\N	\N	actor	tt0144642
nm1420082	Carol Escoffier	\N	\N	composer	tt0284849
nm1420083	Ali Zamani Esmati	\N	\N	writer,director,editor	tt1756659,tt0906034,tt0375895
nm1420084	José de la Espada	\N	\N	actor	tt0365972
nm1420085	Tilda Espluga	\N	\N	actress	tt6837890,tt5101196,tt1360377,tt1295075
nm1420087	Ricardo Estrada García	\N	\N	art_department	tt0214769
nm1420088	Silvia Estrín	\N	\N	actress	tt0335876
nm1420089	Victor Eubank	\N	\N	writer	tt0797942,tt0344449
nm1420090	Rose Evans Decraene	\N	\N	editor	tt0389339,tt5980310,tt5976160,tt0130145
nm1420092	Graeme Evans	\N	\N	music_department	tt0205873,tt0437327,tt0809931
nm1420094	Rich Evirs	\N	\N	editorial_department,editor,actor	tt0462571,tt2531318,tt3264102,tt0988102
nm1420095	Fyfe Ewing	\N	\N	soundtrack,composer	tt0111125,tt0774092,tt0111048,tt0107302
nm1420097	Keith Eyles	\N	\N	actor,producer,writer	tt0854679,tt0938302,tt3797370,tt1672610
nm1420098	Francine Eymery	\N	\N	actress	tt0349533,tt0412179,tt1943741
nm1420099	Hassan Ezzemzami	\N	\N	actor	tt0345234
nm1420100	Brahim Ezzidi	\N	\N	actor	tt0329076
nm1420102	Vinciane Fabre	\N	\N	make_up_department	tt0319879,tt0257706
nm1420103	Sarah Jane Facer	\N	\N	miscellaneous,executive	tt2239156,tt0323298,tt0382189,tt0326835
nm1420104	Bylly Fagen	\N	\N	actor	tt0342167,tt0445922
nm1420105	Alfonso Fagin	\N	\N	editor,sound_department	tt0375837
nm1420106	José Luis Fagin	\N	\N	director,writer,producer	tt0375837
nm1420107	Raghupati Fai	\N	\N	actor	tt0326722
nm1420108	Barbara Fairchild	1950	\N	soundtrack	tt0286681,tt0498601,tt0063908,tt3057602
nm1420109	Amanda Fairnington	\N	\N	editorial_department	tt0375394
nm1420111	Wendy Falconer	\N	\N	miscellaneous,costume_department,costume_designer	tt0098896,tt0299547,tt0115417
nm1420113	Zhanhong Fan	\N	\N	stunts	tt0338581
nm1420114	Attila Faravelli	\N	\N	composer	tt1633216,tt1911661,tt0369263
nm1420115	Emiliano Fardaus	\N	\N	editor	tt1220560,tt3529010,tt4177360,tt5115398
nm1420116	Bálint Farkas	1945	\N	actor	tt7405350,tt0192875,tt0849411,tt2403724
nm1420117	Pamela Farrell	\N	\N	actress	tt0376284
nm1420118	Farzand Ali	\N	\N	make_up_department	tt0139048,tt0077451,tt0137459,tt0137947
nm1420120	Manon Fatter	\N	\N	actress	tt0236730
nm1420122	Stan Feig	\N	\N	producer	tt1504198,tt0380982,tt3091862
nm1420123	Werner Felgentreff	\N	\N	art_department	tt0361238
nm1420124	Paulo Feliciano	\N	\N		\N
nm1420125	Derek Fellows	\N	\N		\N
nm1420126	Andrew Feltenstein	\N	\N	composer,music_department,soundtrack	tt1920849,tt1229340,tt3165612,tt2884286
nm1420128	Mohammad Feroze	\N	\N	actor	tt0179507
nm1420129	Philippe Ferrandini	\N	\N	actor	tt0363263,tt0295721
nm1420130	Hernán Ferrari	\N	\N	cinematographer,editor	tt0375676,tt3980360
nm1420131	Florence Ferraris	\N	\N	actress	tt0229930
nm1420132	Ferrari	\N	\N	editor	tt0375540
nm1420133	Fantasia Ferrer	\N	\N	actress	tt0778161,tt0806804,tt0788054,tt0777791
nm1420135	Michael Ted Ferris	1981	\N	actor,miscellaneous	tt0367591,tt0396569
nm1420136	Mark Fichandler	\N	\N	miscellaneous,producer,director	tt1047437,tt0419409,tt0228660,tt0375554
nm1420137	Jolanta Filar	\N	\N	editor	tt0376319,tt1082069,tt0835764,tt1287849
nm1420139	Gualdemar Fink	\N	\N	actor	tt0375728
nm1420141	Jeanie Finlay	\N	\N	director,producer,cinematographer	tt1464783,tt4015614,tt4468132,tt1805412
nm1420142	Roberto Fino	\N	\N	animation_department,art_director,director	tt0287253,tt0202416,tt0387472,tt0343306
nm1420143	Hilary Firth	\N	\N	assistant_director,miscellaneous	tt0421288,tt2325973,tt0098896,tt1310809
nm1420144	Branislav Fistric	\N	\N	stunts,actor,special_effects	tt0844286,tt1247640,tt1372686,tt0479519
nm1420145	Hartmut Fittkau	\N	\N	writer	tt0376313,tt0400008,tt1132447
nm1420146	Stewart Fleming	\N	\N	actor	tt0129707
nm1420147	Laura Fletcher	\N	\N	make_up_department	tt0996428
nm1420148	Ann Flickinger	\N	\N	actress	tt0183159
nm1420149	Felia Fliel	\N	\N	actress	tt0375936
nm1420150	Allan Flood	\N	\N	miscellaneous	tt0092324,tt0379139
nm1420151	Yesenia Flor	\N	\N	actress	tt0375636
nm1420152	Ernesto Flores	\N	\N	assistant_director	tt0375535
nm1420153	Maraldith Flores	\N	\N	art_director,assistant_director	tt0241891,tt0180961
nm1420154	Jude Floria	\N	\N	art_director,production_designer	tt0376261
nm1420155	Errol Todd Flynn	\N	\N	actor	tt0237153
nm1420156	Morgan Davis Foehl	\N	\N	editorial_department,writer,producer	tt0762107,tt2717822,tt0389860,tt0381798
nm1420159	Graf Fon Herzberg	\N	\N	actor	tt0376060
nm1420160	David Footsman	\N	\N	actor	tt0251439,tt0213338
nm1420162	Gordon Forsyth	\N	\N	sound_department	tt0290972,tt0496635,tt0182399,tt1078270
nm1420163	Julie Ann Fortich	\N	\N	actress	tt2290631,tt1176904,tt0375031,tt0313549
nm1420164	Guillaume Fortin	\N	\N	director,editor,writer	tt1499478,tt0375838,tt1412464,tt1605703
nm1420165	Pierre-Mathieu Fortin	1975	\N	producer,miscellaneous,director	tt1499478,tt5158146,tt0375838,tt1412466
nm1420166	Amber Fox	\N	\N	actress	tt0373258,tt0448815
nm1420167	Kevin J. Fox	\N	\N	cinematographer,director,producer	tt1530652,tt1713422,tt4755694,tt1232884
nm1420168	Lorentzos Fragoulis	\N	\N	actor	tt1503107,tt6276826,tt6196738,tt0259791
nm1420169	Agustí Franch	\N	\N	writer	tt0423686,tt1513055,tt1213168,tt0375339
nm1420170	José Luis Franchella	\N	\N	actor	tt0376019,tt0398678
nm1420172	Ferran Frauca	\N	\N	actor	tt0476586,tt0375972,tt0390545,tt2103176
nm1420174	Colin Free	\N	\N	writer,miscellaneous	tt0086663,tt4089396,tt7075530,tt0406582
nm1420175	J. Marshall Freeman	\N	\N	actor,composer	tt0375755
nm1420176	Alfieri Freiberger	\N	\N	actor	tt0180725
nm1420177	Iria Freiberger	\N	\N	actor	tt0180725
nm1420178	Pau Freixas	1973	\N	producer,writer,director	tt0407707,tt1483386,tt1698292,tt4888908
nm1420179	Maxine French	\N	\N	actress	tt0122339,tt0184122
nm1420180	Erna Frey	\N	\N	costume_department	tt0049488
nm1420181	Günter Frith	\N	\N	location_management	tt0053630
nm1420184	Sadako Fujimura	\N	\N	actress	tt0048689,tt0375875
nm1420185	Nobiko Fujinaga	\N	\N	writer	tt0129408,tt1353944
nm1420186	Seiko Fujisawa	\N	\N	miscellaneous,producer	tt1355605,tt0479176,tt1273234,tt0375844
nm1420187	Seth Fullerton	\N	\N	visual_effects,camera_department,producer	tt0404364,tt0840796,tt0375647,tt0167190
nm1420188	Stephan Funk	\N	\N	composer	tt0376267
nm1420189	Hiroshi Furodute	\N	\N	actor	tt0324470
nm1420191	Charles Furstner	\N	\N	actor	tt0077923
nm1420192	Furusawahigedaisukebe	\N	\N	animation_department	tt0375844
nm1420193	Frederik Fusager	\N	\N	producer,art_department,production_manager	tt2071475,tt5459566,tt1724555,tt0973816
nm1420194	Jordi Fusalba	\N	\N	actor	tt0425058,tt1381077,tt0375972,tt0327280
nm1420197	Waltraud Förster	\N	\N	miscellaneous	tt0049488
nm1420198	Leonardo Gaetani	\N	\N	art_department,art_director,set_decorator	tt1786031,tt0373505,tt1119630,tt2472144
nm1420199	Vicca Gafur	\N	\N	art_department	tt0376119
nm1420201	Nani Gaitán	\N	\N	actress	tt0759336,tt0381791,tt0465365,tt1621757
nm1420204	Rosendo Gallardo	\N	\N	actor	tt0365972
nm1420205	Temístocles Gallardo	\N	\N	actor	tt0365972
nm1420206	Max Galligani	\N	\N	actor	tt0462002,tt1506967,tt4644144,tt0255477
nm1420207	Sebastián Gallo	\N	\N	cinematographer,camera_department,editor	tt1725021,tt2327459,tt6648696,tt6386168
nm1420208	Jack Galmiche	\N	\N	production_manager	tt0488909,tt0949777,tt0481446
nm1420210	Angie Garaghon	\N	\N	assistant_director	tt0241383,tt0184122,tt0847156,tt0084987
nm1420211	Enrique García Asensio	1937	\N	actor,soundtrack	tt0375387,tt2365576
nm1420212	Jordi García Bergua	\N	\N	assistant_director	tt0375747
nm1420213	Rosa García Caro	\N	\N	actress	tt0375354,tt0396324,tt0373547,tt1941518
nm1420214	Mariana García Hervás	\N	\N	actress,writer	tt0259375
nm1420215	Francisco García Novell	\N	\N	actor,director,writer	tt0383124,tt0375432,tt0375443,tt0383113
nm1420216	Victoria Garden	\N	\N	assistant_director	tt0184122,tt0096555,tt0401019
nm1420217	Brooke G. Fedro	\N	\N	producer,miscellaneous	tt1612056,tt0441726,tt0417331,tt0439086
nm1420218	Marco Garibaldi	\N	\N	director,producer,executive	tt1176724,tt0106064
nm1420219	Carolina Garnero	\N	\N	actress	tt0375728
nm1420220	Gérard Garouste	\N	\N	actor	tt2400351,tt2289538,tt1394280,tt1759680
nm1420221	Chilique Garrel	\N	\N	writer	tt0290841
nm1420222	François Garrel	\N	\N	composer	tt0061954
nm1420224	Treisa Gary	1969	\N	actress,miscellaneous,casting_department	tt2575988,tt1759761,tt0364845,tt0898266
nm1420225	George Gaspar	\N	\N	producer,costume_department,actor	tt6351334,tt0800369,tt1431045,tt7529358
nm1420226	Boy Gatus	\N	\N	director,production_manager	tt0375266,tt0452086,tt1429368
nm1420227	Jean-François Gaté	\N	\N	assistant_director,camera_department	tt0078844,tt0076343,tt0077371
nm1420228	Jeff Gaunt	\N	\N	visual_effects,special_effects,editorial_department	tt2397535,tt0445965,tt0322389,tt1537445
nm1420229	Honore Gauthier	\N	\N	animation_department,art_director,art_department	tt0235918,tt0154061,tt4920274,tt1710308
nm1420230	Héctor Gavira	\N	\N	director,writer,editor	tt0375725,tt1448544
nm1420231	Vijay Gavlee	\N	\N	actor	tt0098999
nm1420232	Aleksandar Gavrilovic	\N	\N	writer	tt0269763
nm1420233	Teresa Gawlikowska	\N	\N	actress	tt0052928,tt0053150,tt0052083
nm1420236	Jean Rene Gayvallet	\N	\N	stunts	tt0111954
nm1420239	Dariya Gelinova	\N	\N	editorial_department	tt0169534,tt0102775
nm1420240	Dorit Genazzani	\N	\N	make_up_department	tt0307535,tt3671292,tt0375517,tt0272360
nm1420242	Katerina Georganta	\N	\N	art_department,art_director	tt0375251,tt0374002
nm1420243	Adrianos Georgantas	1958	\N	director,writer,actor	tt1258983,tt2429704,tt1085603,tt0375251
nm1420244	Nedyalko Georgiev	\N	\N	camera_department	tt1464567,tt1220198,tt0816462,tt3069212
nm1420246	Marianne Germer	\N	\N		tt0418730,tt0382422,tt0376100,tt0376189
nm1420247	Darina Gerova	\N	\N	writer	tt0375741
nm1420248	Thomas C. Gertsch	\N	\N	camera_department,producer,cinematographer	tt1344620,tt1709119,tt0430599,tt1789037
